 
****************************************
Report : area
Design : ViT_top
Version: R-2020.09-SP5
Date   : Tue Nov 25 01:27:31 2025
****************************************

Library(s) Used:

    slow_vdd1v2 (File: /usr/cadtool/GPDK45/gsclib045_svt_v4.4/gsclib045/db/slow_vdd1v2_basicCells_wl.db)

Number of ports:                         4737
Number of nets:                        145544
Number of cells:                       139457
Number of combinational cells:         128837
Number of sequential cells:             10488
Number of macros/black boxes:               0
Number of buf/inv:                      27218
Number of references:                     243

Combinational area:             191764.192278
Buf/Inv area:                    19138.662427
Noncombinational area:           64928.359448
Macro/Black Box area:                0.000000
Net Interconnect area:               0.000000

Total cell area:                256692.551726
Total area:                     256692.551726

Hierarchical area distribution
------------------------------

                                  Global cell area              Local cell area
                                  --------------------  ------------------------------- 
Hierarchical cell                 Absolute     Percent  Combi-       Noncombi-   Black-
                                  Total        Total    national     national    boxes   Design
clk_gate_bank0_proj_add_reg            6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_25
clk_gate_bank0_proj_add_reg_0          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_24
clk_gate_bank1_proj_add_reg            6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_23
clk_gate_bank1_proj_add_reg_0          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_22
clk_gate_bank2_proj_add_reg            6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_29
clk_gate_bank2_proj_add_reg_0          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_28
clk_gate_bank3_proj_add_reg            6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_27
clk_gate_bank3_proj_add_reg_0          6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_26
clk_gate_bias_reg_reg_0_               6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_115
clk_gate_bias_reg_reg_10_              6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_105
clk_gate_bias_reg_reg_11_              6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_104
clk_gate_bias_reg_reg_12_              6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_103
clk_gate_bias_reg_reg_13_              6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_102
clk_gate_bias_reg_reg_14_              6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_101
clk_gate_bias_reg_reg_15_              6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_100
clk_gate_bias_reg_reg_1_               6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_114
clk_gate_bias_reg_reg_2_               6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_113
clk_gate_bias_reg_reg_3_               6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_112
clk_gate_bias_reg_reg_4_               6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_111
clk_gate_bias_reg_reg_5_               6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_110
clk_gate_bias_reg_reg_6_               6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_109
clk_gate_bias_reg_reg_7_               6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_108
clk_gate_bias_reg_reg_8_               6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_107
clk_gate_bias_reg_reg_9_               6.8400      0.0       1.3680      5.4720  0.0000  SNPS_CLOCK_GATE_HIGH_ViT_top_mydesign_106
