 
****************************************
Report : resources
Design : ViT_top
Version: R-2020.09-SP5
Date   : Thu Nov 20 18:19:08 2025
****************************************


Resource Report for this hierarchy in file ../hdl/ViT_top.v
=============================================================================
| Cell           | Module         | Parameters | Contained Operations       |
| add_x_406      | DW01_add       | width=42   | add_2435_I8 (ViT_top.v:2435) |
| mult_x_407     | DW_mult_uns    | a_width=44 | mult_2471 (ViT_top.v:2471) |
|                |                | b_width=34 |                            |
| mult_x_408     | DW_mult_uns    | a_width=44 | mult_2471_I2 (ViT_top.v:2471) |
              |                | b_width=34 |                            |
| mult_x_409     | DW_mult_uns    | a_width=44 | mult_2471_I3 (ViT_top.v:2471) |
              |                | b_width=34 |                            |
| mult_x_410     | DW_mult_uns    | a_width=44 | mult_2471_I4 (ViT_top.v:2471) |
              |                | b_width=34 |                            |
| mult_x_411     | DW_mult_uns    | a_width=44 | mult_2471_I5 (ViT_top.v:2471) |
              |                | b_width=34 |                            |
| mult_x_412     | DW_mult_uns    | a_width=44 | mult_2471_I6 (ViT_top.v:2471) |
              |                | b_width=34 |                            |
| mult_x_413     | DW_mult_uns    | a_width=44 | mult_2471_I7 (ViT_top.v:2471) |
              |                | b_width=34 |                            |
| mult_x_414     | DW_mult_uns    | a_width=44 | mult_2471_I8 (ViT_top.v:2471) |
              |                | b_width=34 |                            |
| add_x_83       | DW01_inc       | width=10   | add_900 (ViT_top.v:900)    |
|                |                |            | add_902_2 (ViT_top.v:902)  |
| add_x_84       | DW01_inc       | width=10   | add_900_I2 (ViT_top.v:900) |
|                |                |            | add_902_2_I2 (ViT_top.v:902) |
| add_x_85       | DW01_inc       | width=10   | add_900_I3 (ViT_top.v:900) |
|                |                |            | add_902_2_I3 (ViT_top.v:902) |
| add_x_86       | DW01_inc       | width=10   | add_900_I4 (ViT_top.v:900) |
|                |                |            | add_902_2_I4 (ViT_top.v:902) |
| add_x_87       | DW01_inc       | width=10   | add_900_I5 (ViT_top.v:900) |
|                |                |            | add_902_2_I5 (ViT_top.v:902) |
| add_x_88       | DW01_inc       | width=10   | add_900_I6 (ViT_top.v:900) |
|                |                |            | add_902_2_I6 (ViT_top.v:902) |
| add_x_89       | DW01_inc       | width=10   | add_900_I7 (ViT_top.v:900) |
|                |                |            | add_902_2_I7 (ViT_top.v:902) |
| add_x_90       | DW01_inc       | width=10   | add_900_I8 (ViT_top.v:900) |
|                |                |            | add_902_2_I8 (ViT_top.v:902) |
| add_x_165      | DW01_inc       | width=8    | add_1226 (ViT_top.v:1226)  |
|                |                |            | add_1233 (ViT_top.v:1233)  |
| DP_OP_1064J1_122_4871           |            |                            |
|                | DP_OP_1064J1_122_4871 |     |                            |
| DP_OP_1065J1_123_1791           |            |                            |
|                | DP_OP_1065J1_123_1791 |     |                            |
| DP_OP_1066J1_124_5797           |            |                            |
|                | DP_OP_1066J1_124_5797 |     |                            |
| DP_OP_1067J1_125_5797           |            |                            |
|                | DP_OP_1067J1_125_5797 |     |                            |
| DP_OP_1068J1_126_5797           |            |                            |
|                | DP_OP_1068J1_126_5797 |     |                            |
| DP_OP_1069J1_127_5797           |            |                            |
|                | DP_OP_1069J1_127_5797 |     |                            |
| DP_OP_195_151_8708              |            |                            |
|                | DP_OP_195_151_8708 |        |                            |
| DP_OP_194_150_9357              |            |                            |
|                | DP_OP_194_150_9357 |        |                            |
| DP_OP_193_149_3198              |            |                            |
|                | DP_OP_193_149_3198 |        |                            |
| DP_OP_192_148_5953              |            |                            |
|                | DP_OP_192_148_5953 |        |                            |
| DP_OP_191_147_5320              |            |                            |
|                | DP_OP_191_147_5320 |        |                            |
| DP_OP_190_146_3847              |            |                            |
|                | DP_OP_190_146_3847 |        |                            |
| DP_OP_189_145_9777              |            |                            |
|                | DP_OP_189_145_9777 |        |                            |
| DP_OP_188_144_443               |            |                            |
|                | DP_OP_188_144_443 |         |                            |
=============================================================================

Datapath Report for DP_OP_1064J1_122_4871
==============================================================================
| Cell                 | Contained Operations                                |
==============================================================================
| DP_OP_1064J1_122_4871 | add_598 (ViT_top.v:598) add_598_2 (ViT_top.v:598)  |
|                      | add_598_3 (ViT_top.v:598) add_598_4 (ViT_top.v:598) |
|                      | add_598_5 (ViT_top.v:598) add_598_6 (ViT_top.v:598) |
|                      | add_598_7 (ViT_top.v:598) add_598_8 (ViT_top.v:598) |
|                      | add_598_9 (ViT_top.v:598)                           |
|                      | add_598_10 (ViT_top.v:598)                          |
|                      | add_598_11 (ViT_top.v:598)                          |
|                      | add_598_12 (ViT_top.v:598)                          |
|                      | add_598_13 (ViT_top.v:598)                          |
|                      | add_598_14 (ViT_top.v:598)                          |
|                      | add_598_15 (ViT_top.v:598)                          |
==============================================================================

==============================================================================
|       |      | Data     |       |                                          |
| Var   | Type | Class    | Width | Expression                               |
==============================================================================
| I1    | PI   | Signed   | 10    |                                          |
| I2    | PI   | Signed   | 10    |                                          |
| I3    | PI   | Signed   | 10    |                                          |
| I4    | PI   | Signed   | 10    |                                          |
| I5    | PI   | Signed   | 10    |                                          |
| I6    | PI   | Signed   | 10    |                                          |
| I7    | PI   | Signed   | 10    |                                          |
| I8    | PI   | Signed   | 10    |                                          |
| I9    | PI   | Signed   | 10    |                                          |
| I10   | PI   | Signed   | 10    |                                          |
| I11   | PI   | Signed   | 10    |                                          |
| I12   | PI   | Signed   | 10    |                                          |
| I13   | PI   | Signed   | 10    |                                          |
| I14   | PI   | Signed   | 10    |                                          |
| I15   | PI   | Signed   | 10    |                                          |
| I16   | PI   | Signed   | 10    |                                          |
| O1    | PO   | Signed   | 14    | I1 + I2 + I3 + I4 + I5 + I6 + I7 + I8 + I9 + I10 + I11 + I12 + I13 + I14 + I15 + I16 (ViT_top.v:598) |
==============================================================================

Datapath Report for DP_OP_1065J1_123_1791
==============================================================================
| Cell                 | Contained Operations                                |
==============================================================================
| DP_OP_1065J1_123_1791 | add_712 (ViT_top.v:712) add_712_2 (ViT_top.v:712)  |
|                      | add_712_3 (ViT_top.v:712) add_712_4 (ViT_top.v:712) |
|                      | add_712_5 (ViT_top.v:712) add_712_6 (ViT_top.v:712) |
|                      | add_712_7 (ViT_top.v:712) add_712_8 (ViT_top.v:712) |
|                      | add_712_9 (ViT_top.v:712)                           |
|                      | add_712_10 (ViT_top.v:712)                          |
|                      | add_712_11 (ViT_top.v:712)                          |
|                      | add_712_12 (ViT_top.v:712)                          |
|                      | add_712_13 (ViT_top.v:712)                          |
|                      | add_712_14 (ViT_top.v:712)                          |
|                      | add_712_15 (ViT_top.v:712)                          |
|                      | sub_add_831 (ViT_top.v:831)                         |
|                      | add_831_ni (ViT_top.v:831)                          |
==============================================================================

==============================================================================
|       |      | Data     |       |                                          |
| Var   | Type | Class    | Width | Expression                               |
==============================================================================
| I1    | PI   | Unsigned | 14    |                                          |
| I2    | PI   | Unsigned | 14    |                                          |
| I3    | PI   | Unsigned | 14    |                                          |
| I4    | PI   | Unsigned | 14    |                                          |
| I5    | PI   | Unsigned | 14    |                                          |
| I6    | PI   | Unsigned | 14    |                                          |
| I7    | PI   | Unsigned | 14    |                                          |
| I8    | PI   | Unsigned | 14    |                                          |
| I9    | PI   | Unsigned | 14    |                                          |
| I10   | PI   | Unsigned | 14    |                                          |
| I11   | PI   | Unsigned | 14    |                                          |
| I12   | PI   | Unsigned | 14    |                                          |
| I13   | PI   | Unsigned | 14    |                                          |
| I14   | PI   | Unsigned | 14    |                                          |
| I15   | PI   | Unsigned | 14    |                                          |
| I16   | PI   | Unsigned | 14    |                                          |
